"TimeStep","Velocity:0","Velocity:1","Total Energy","Internal Energy","Temperature","Speed of Sound","Pressure","Total Enthalpy","Mach Number","Density","Points:0","Points:1","Points:2"
119,289.22,-11.993,2.1868e+05,1.7678e+05,246.35,314.64,58497,2.8939e+05,0.92,0.82724,0.76,0.021506,0
119,289.22,-11.776,2.1867e+05,1.7678e+05,246.34,314.64,58480,2.8938e+05,0.92,0.82703,0.75791,0.014677,0
119,289.21,-12.282,2.1868e+05,1.7678e+05,246.35,314.64,58500,2.8939e+05,0.92,0.82729,0.76598,0.023059,0
119,289.18,-12.767,2.1867e+05,1.7677e+05,246.33,314.63,58473,2.8937e+05,0.92,0.82696,0.78055,0.0137,0
119,289.19,-12.663,2.1868e+05,1.7678e+05,246.34,314.64,58498,2.8939e+05,0.92,0.82727,0.77492,0.022678,0
119,286.42,-14.147,2.1846e+05,1.7734e+05,247.12,315.13,59136,2.8939e+05,0.91,0.83367,0.81333,0.017326,0
119,286.43,-14.136,2.1846e+05,1.7734e+05,247.12,315.14,59148,2.894e+05,0.91,0.8338,0.81223,0.020942,0
119,286.41,-14.165,2.1845e+05,1.7733e+05,247.11,315.13,59120,2.8938e+05,0.91,0.83347,0.81491,0.012065,0
119,283.65,-15.196,2.1823e+05,1.7789e+05,247.88,315.62,59785,2.8939e+05,0.9,0.84021,0.84,0.019258,0
119,283.65,-15.196,2.1823e+05,1.7789e+05,247.88,315.62,59786,2.8939e+05,0.9,0.84022,0.83995,0.019509,0
119,283.64,-15.203,2.1822e+05,1.7787e+05,247.87,315.61,59758,2.8937e+05,0.9,0.83989,0.84136,0.010677,0
119,280.88,-15.829,2.18e+05,1.7843e+05,248.64,316.1,60416,2.8937e+05,0.89,0.84649,0.85905,0.0096831,0
119,280.89,-15.806,2.1802e+05,1.7844e+05,248.66,316.11,60444,2.894e+05,0.89,0.84683,0.85795,0.01851,0
119,278.11,-16.397,2.1779e+05,1.7898e+05,249.4,316.59,61070,2.8938e+05,0.88,0.85303,0.87597,0.0086887,0
119,278.13,-16.344,2.178e+05,1.7899e+05,249.42,316.6,61100,2.894e+05,0.88,0.85338,0.87494,0.017522,0
119,275.33,-16.949,2.1757e+05,1.7952e+05,250.16,317.07,61722,2.8938e+05,0.87,0.85952,0.89333,0.0093203,0
119,275.34,-16.881,2.1759e+05,1.7954e+05,250.18,317.08,61747,2.894e+05,0.87,0.85981,0.89258,0.016451,0
119,275.33,-16.964,2.1757e+05,1.7952e+05,250.16,317.07,61716,2.8938e+05,0.87,0.85946,0.89348,0.0076137,0
119,272.53,-17.386,2.1734e+05,1.8005e+05,250.9,317.54,62368,2.8936e+05,0.86,0.86595,0.90788,0.0066896,0
119,272.55,-17.285,2.1736e+05,1.8007e+05,250.92,317.55,62398,2.8939e+05,0.86,0.8663,0.90736,0.015514,0
119,266.92,-17.941,2.1692e+05,1.8113e+05,252.4,318.49,63681,2.8937e+05,0.84,0.87893,0.93207,0.005064,0
119,266.95,-17.787,2.1694e+05,1.8115e+05,252.43,318.5,63712,2.894e+05,0.84,0.87928,0.93202,0.013872,0
119,269.73,-17.705,2.1714e+05,1.806e+05,251.67,318.02,63027,2.8938e+05,0.85,0.87245,0.92095,0.0058232,0
119,269.75,-17.575,2.1716e+05,1.8062e+05,251.69,318.03,63057,2.894e+05,0.85,0.8728,0.92067,0.01464,0
